50;50;
19;92;27;51;8;76;0;48;17;50;37;47;41;46;64;56;65;68;2;67;5;11;26;65;36;88;30;32;83;53;56;54;46;83;6;54;59;6;54;76;8;92;75;50;90;40;6;8;60;8;
75;65;72;1;82;60;90;64;92;73;18;0;27;16;83;85;22;94;92;77;70;0;21;98;2;11;38;61;19;50;69;46;15;93;0;49;54;90;13;98;15;31;51;94;99;86;80;22;81;24;
99;3;24;20;1;79;83;91;40;55;41;61;1;8;55;1;57;61;43;71;11;10;54;62;5;6;49;37;28;82;61;79;85;37;51;87;16;86;78;56;41;72;70;95;80;25;96;38;38;92;
61;49;2;67;64;59;73;65;48;53;47;9;84;32;47;35;71;15;22;50;24;15;74;94;10;54;71;59;44;9;51;5;58;5;25;22;17;50;39;65;56;86;75;40;19;74;28;42;41;2;
44;65;17;18;11;28;73;82;39;17;91;90;75;2;47;52;76;16;54;16;82;10;2;9;51;73;35;31;16;76;33;60;94;50;79;5;30;4;88;69;21;31;11;48;33;11;0;10;27;55;
26;61;17;80;70;20;54;5;51;22;34;36;82;28;39;13;33;69;17;73;91;91;57;54;91;90;17;44;52;45;51;78;6;68;11;29;89;17;34;92;39;68;29;73;48;68;39;34;89;56;
59;32;99;16;39;43;7;56;87;11;53;38;90;12;58;53;41;99;70;75;92;9;96;73;82;96;93;21;30;34;30;90;19;81;6;58;24;65;14;63;77;20;1;19;32;60;72;73;11;42;
0;55;51;48;28;85;45;73;59;75;8;41;65;27;74;24;37;51;89;3;14;66;23;68;37;55;80;9;28;91;51;29;47;54;77;27;92;74;1;3;50;61;96;67;40;70;91;77;73;33;
80;88;51;56;8;89;11;88;98;92;79;2;21;78;8;50;6;52;25;7;55;27;20;3;94;60;26;38;89;99;71;21;39;22;77;47;11;41;35;62;33;67;64;6;45;24;56;51;77;33;
10;84;12;82;88;59;42;14;97;83;13;20;5;5;42;34;52;6;75;40;20;8;59;36;14;4;60;23;8;37;8;70;74;21;53;62;80;47;76;29;31;41;49;88;46;43;74;51;1;2;
91;21;10;50;57;77;6;18;52;66;7;60;37;81;33;42;43;65;89;71;94;72;13;95;12;11;39;87;62;40;89;5;62;51;7;19;80;66;89;32;32;49;45;69;30;30;11;26;96;53;
49;42;25;14;38;38;26;29;77;40;69;66;98;83;69;5;55;50;23;44;34;56;45;79;25;76;62;89;54;58;94;3;52;71;70;90;61;48;19;38;88;41;56;38;24;26;96;79;76;19;
76;10;75;21;42;53;49;4;94;55;14;88;11;66;59;81;57;73;29;28;11;69;69;20;8;46;46;4;77;74;75;5;36;51;27;30;56;28;34;50;36;0;38;47;67;49;80;76;74;9;
56;86;78;26;6;38;24;4;94;1;30;70;7;66;73;86;97;29;66;83;79;2;84;69;1;3;70;81;79;45;90;35;83;21;13;41;11;89;45;6;91;27;28;50;45;1;88;42;82;6;
78;61;61;14;82;62;17;52;44;96;49;86;83;32;59;49;73;71;38;70;29;81;49;9;83;95;62;71;37;44;30;67;5;91;81;87;5;98;91;49;46;41;88;30;25;47;79;51;70;17;
21;51;51;71;60;34;66;22;58;55;66;88;23;23;31;56;62;36;55;6;86;1;47;26;83;24;73;62;75;96;32;97;47;83;20;60;17;38;82;75;45;1;15;20;24;46;77;39;83;32;
45;21;85;92;47;69;68;20;31;44;68;15;93;68;98;65;28;68;3;10;95;48;63;11;69;40;57;98;79;40;30;24;61;15;68;8;84;36;81;68;80;1;83;73;69;34;38;97;2;93;
60;97;94;23;8;15;63;18;13;42;58;43;66;72;10;86;32;47;23;13;15;3;15;50;29;36;84;19;34;38;13;94;36;7;69;96;74;85;14;87;79;25;82;98;97;92;84;29;91;7;
95;6;63;62;57;92;98;93;11;84;32;76;78;20;35;0;68;9;37;35;96;16;60;30;14;9;75;51;90;66;58;85;73;21;99;82;65;98;27;77;82;11;5;13;31;41;65;52;50;2;
87;99;70;99;81;85;8;56;36;50;23;46;36;48;68;87;30;33;85;9;62;20;21;68;85;4;61;50;56;63;4;43;14;74;94;96;11;2;52;99;5;27;46;93;75;66;80;57;51;18;
67;66;38;88;86;23;92;47;25;49;62;81;44;77;55;39;25;19;93;29;18;98;57;16;91;32;82;72;90;86;90;57;4;80;97;90;55;89;89;32;90;51;13;35;80;68;26;5;39;71;
35;58;70;92;74;13;76;9;37;66;47;79;75;51;11;72;41;66;62;82;50;4;85;63;39;66;84;17;23;23;89;58;81;11;2;8;24;31;69;14;97;16;93;25;67;5;97;60;23;11;
42;74;16;27;37;7;45;21;25;69;97;66;79;30;77;82;38;1;13;7;15;62;23;61;39;42;66;37;2;89;0;96;63;68;24;53;28;69;26;53;90;23;71;70;54;48;4;44;1;17;
52;69;31;27;30;71;70;48;60;24;89;12;21;53;33;97;58;61;18;84;66;9;8;37;31;14;85;35;58;38;4;10;7;35;90;37;58;12;37;70;36;27;35;9;32;68;6;90;29;77;
74;47;38;82;84;69;48;21;4;7;59;8;17;67;95;59;56;6;71;94;76;8;73;63;17;5;83;76;95;64;5;69;11;43;4;95;12;52;16;16;59;76;24;29;95;71;40;51;77;12;
97;6;72;70;69;41;75;5;17;22;69;22;92;81;65;48;76;29;52;45;45;64;21;21;45;68;45;85;19;22;97;69;28;69;39;50;11;67;55;80;89;24;55;33;57;72;81;34;2;86;
79;99;50;52;73;95;72;18;32;91;40;30;12;21;51;52;23;14;19;30;95;60;6;2;94;64;74;27;50;28;13;81;28;63;85;1;10;57;71;43;0;63;25;13;84;28;17;59;43;88;
41;90;48;48;44;42;64;18;70;14;99;83;95;79;99;32;80;61;89;3;56;89;66;33;54;3;62;71;62;57;59;56;99;8;4;43;2;20;13;72;34;12;8;81;91;59;65;23;20;54;
78;77;95;45;62;50;48;24;73;62;33;33;18;32;93;74;27;95;94;93;20;80;57;28;13;1;39;78;76;59;84;55;88;80;0;51;82;0;27;55;14;61;88;85;45;81;59;73;29;6;
18;49;38;75;77;52;76;68;30;53;27;15;8;68;47;60;71;29;60;50;36;26;63;77;11;9;58;23;34;87;29;52;88;67;27;17;71;56;85;54;9;65;21;17;33;20;77;56;49;89;
58;37;15;22;14;79;83;73;2;69;12;31;21;53;50;0;70;74;56;56;28;65;21;1;34;6;21;63;14;22;4;72;59;72;94;74;51;29;99;53;98;63;36;19;16;86;72;87;60;80;
43;40;46;16;41;32;22;14;48;88;36;52;60;96;24;7;70;27;36;21;80;35;84;16;6;1;55;30;40;67;11;83;8;9;51;1;41;73;16;41;61;52;94;73;0;70;80;22;98;69;
43;78;56;80;47;62;81;2;45;73;69;56;8;29;65;59;31;58;84;99;0;97;3;46;70;4;16;3;26;66;72;22;97;80;2;44;42;35;98;39;8;19;95;16;49;12;27;32;23;11;
31;75;8;34;21;30;90;89;33;69;56;57;43;5;37;45;1;32;32;99;71;92;18;19;60;67;31;87;99;6;50;82;81;58;69;54;88;59;44;74;80;52;31;23;57;69;68;10;53;52;
9;24;96;79;43;56;47;27;95;98;85;45;33;67;3;2;21;44;13;17;70;94;21;1;17;30;22;38;40;75;42;49;52;39;29;95;95;28;74;91;78;60;36;11;79;92;65;52;88;79;
70;58;25;91;11;42;22;34;32;14;61;75;16;13;14;45;9;9;25;35;52;55;47;41;19;26;85;84;31;25;15;53;35;40;44;46;35;18;32;67;85;94;94;1;7;8;98;68;70;23;
4;74;30;3;67;49;82;52;86;13;29;53;66;64;46;62;11;33;33;43;52;18;37;47;19;45;7;17;65;29;92;69;4;22;25;71;24;7;76;62;20;5;15;38;70;13;0;81;46;85;
76;99;3;66;98;22;11;5;91;28;35;83;98;39;58;75;62;82;82;38;44;54;44;11;92;14;25;44;95;71;30;23;22;85;89;20;60;52;26;51;81;61;35;31;52;93;6;14;27;88;
53;71;42;97;34;86;11;59;82;58;31;64;81;5;50;23;26;62;75;52;13;56;65;0;87;17;93;93;31;72;33;36;95;27;33;30;65;96;89;48;6;72;64;88;78;66;11;4;28;38;
8;42;95;73;42;34;90;88;80;73;60;13;62;56;93;47;38;58;44;27;58;50;52;23;90;30;41;53;86;70;44;94;64;39;67;58;25;9;46;5;34;59;71;96;67;64;44;5;74;40;
